pass;filename;old_error_per_pixel;new_error_per_pixel;improved;iteration_budget;badge_validation_rounds
4;AC0833_S.jpg;0.04186311;0.04486400;0;132;10
4;AC0837_S.jpg;0.05247289;0.05287111;0;132;10
4;AC0820_S.jpg;0.09906173;0.09906173;0;132;10
4;AC0870_M.jpg;0.03781875;0.04432500;0;132;10
4;AC0882_M.jpg;0.03224694;0.03706939;0;132;10
4;AC0838_M.jpg;0.03332245;0.03332245;0;132;10
4;AC0832_S.jpg;0.04034133;0.04635022;0;132;10
4;AC0800_S.jpg;0.04598519;0.04598519;0;132;10
4;AC0882_S.jpg;0.04268800;0.08364800;0;132;10
4;AC0831_S.jpg;0.04270933;0.04999822;0;132;10
4;AC0835_S.jpg;0.12037531;0.12037531;0;132;10
4;AC0838_S.jpg;0.04627911;0.05197511;0;132;10
4;AC0835_L.jpg;0.03351808;0.03351808;0;132;10
4;AC0836_M.jpg;0.03011633;0.04151429;0;132;10
4;AC0831_M.jpg;0.03119796;0.03215306;0;132;10
4;AC0820_L.jpg;0.02338148;0.02495926;0;132;10
4;AC0834_S.jpg;0.04489244;0.04489244;0;132;10
4;AC0833_M.jpg;0.03138776;0.03449388;0;132;10
4;AC0820_M.jpg;0.03824375;0.04379375;0;132;10
4;AC0881_S.jpg;0.03638756;0.03638756;0;132;10
4;AC0835_M.jpg;0.03559375;0.03559375;0;132;10
4;AC0839_S.jpg;0.04024178;0.05164800;0;132;10
4;AC0836_S.jpg;0.03911822;0.03911822;0;132;10
4;AC0870_S.jpg;0.07375802;0.14198519;0;132;10
